"ID","Parm","Parm.Description","Select","Min","Max","Category","Unit"
86,"PARM26","Exponential coefficient in RUSLE C live plant factor",0,0.01,0.2,"5",NA
87,"PARM27","Lower limit nitrate concentration",0,0,10,"0",NA
88,"PARM28","Acceptable plant N stress level",0,0,1,"1,4",NA
89,"PARM29","K pool flow coefficient",0,0.001,0.02,"0",NA
90,"PARM30","Denitrification soil - water threshold",0,0.9,1.1,"1,4",NA
91,"PARM31","Furrow irrigation sediment routing exponent",0,1,1.5,"5",NA
92,"PARM32","Minimum C factor value",0,1e-04,0.8,"0",NA
93,"PARM33","Puddling saturated conductivity",0,1e-05,0.1,"5",NA
94,"PARM34","Soluble P runoff exponent",0,1,1.5,"0",NA
95,"PARM35","Water stress weighting coefficient",0,0,1,"5,6,7",NA
96,"PARM36","Furrow irrigation base sediment concentration",0,0.01,0.2,"5",NA
97,"PARM37","Pest kill scaling factor",0,100,10000,"0",NA
98,"PARM38","Hargreaves PET equation coefficient",0,0.0023,0.0032,"3,5",NA
99,"PARM39","Auto N fertilizer scaling factor",0,50,500,"0",NA
100,"PARM40","Crop growth climatic factor",0,40,100,"0",NA
101,"PARM41","Soil evaporation- plant cover factor",0,0,0.5,"",NA
102,"PARM42","NRCS curve number index coefficient",0,0.5,1.5,"3,5",NA
103,"PARM43","Upward movement of soluble P by evaporation coefficient",0,1,20,"0",NA
104,"PARM44","Ratio of soluble C concentration in runoff to percolate",0,0.1,1,"0",NA
105,"PARM45","Coefficient in century equation allocating slow to passive humus",0,0.001,0.05,"0",NA
106,"PARM46","Auto fertilizer weighting factor",0,0,1,"0",NA
107,"PARM47","Slow humus transformation rate",0,0.00041,0.00068,"0",NA
108,"PARM48","Passive humus transformation rate",0,8.2e-06,1.5e-05,"0",NA
109,"PARM49","Fraction of above ground plant material burned",0,0,1,"0",NA
110,"PARM50","Technology annual rate coefficient",0,0,0.01,"4,5",NA
111,"PARM51","Coefficient in oxygen equation",0,0.8,0.95,"0",NA
112,"PARM52","Exponential coefficient in equation",0,5,15,"0",NA
113,"PARM53","Coefficient in oxygen equation",0,0.8,0.95,"0",NA
114,"PARM54","Exponential coefficient in potential water use root growth distribution equation",1,2.5,7.5,"1,2,4,5,6,7",NA
115,"PARM55","Coefficient used in allocating root growth",1,0,1,"1,2,4",NA
116,"PARM56","Exponential coefficient in root growth distribution",1,5,10,"1,2,3,7",NA
117,"PARM57","Volatilization/nitrification partitioning coefficient",0,0.05,0.5,"0",NA
118,"PARM58","Runoff amount to delay pest application",0,0,25,"0",NA
119,"PARM59","Soil water value to delay tillage",1,0.97,1,"1,2,4,5,6,7,8",NA
120,"PARM60","Exponential coefficient in EPIC soil erosion C factor",0,0.5,2,"0",NA
121,"PARM61","Weighting factor for estimating soil evaporation",0,0,1,"3,5",NA
122,"PARM62","Exponential coefficient regulates upward N movement by evaporation",1,0.2,2,"1,2,4",NA
123,"PARM63","Upper limit of N concentration in percolating water",1,100,10000,"1,2,4,5",NA
124,"PARM64","Upper limit of nitrification - volatilization as a fraction",0,0,1,"0",NA
125,"PARM65","Reduces NRCS runoff CN retention PARM",0,0.05,0.5,"0",NA
126,"PARM66","Converts standing dead residue to flat residue",1,1e-04,0.05,"1,2,4,6,7,8",NA
127,"PARM67","Wind erosion threshold wind speed",0,4,10,"0",NA
128,"PARM68","N fixation upper limit",1,1,30,"1,2,4",NA
129,"PARM69","Heat unit adjustment at harvest",0,0,1,"4,5",NA
130,"PARM70","Power of change in day length component of LAI growth equation",1,1,10,"1,2,4,5",NA
131,"PARM71","RUSLE 2 transport capacity parameter",0,0.001,0.1,"0",NA
132,"PARM72","RUSLE 2 Threshold transport capacity coefficient",0,1,10,"0",NA
133,"PARM73","Upper limit of curve number retention parameter",0,1,2,"0",NA
134,"PARM74","Penman - Monteith adjustment factor",0,0.5,1.5,"3,5",NA
135,"PARM75","Runoff CN residue adjustment parameter",0,0,0.3,"0",NA
136,"PARM76","Harvest index adjustment for fruit and nut trees",0,100,1500,"0",NA
137,"PARM77","Coefficient regulating p flux between labile and active pool",0,1e-04,0.001,"0",NA
138,"PARM78","Coefficient regulating p flux between active and stable pool",0,1e-04,0.001,"0",NA
139,"PARM79","Weighting factor for locating appropriate weather stations",0,0.8,1,"0",NA
140,"PARM80","Partitions N2 and N2O",0,0.1,0.9,"0",NA
141,"PARM81","Weights the effect of TMX - TMN and RAD on soil temperature",0,5,20,"0",NA
142,"PARM82","Damping depth adjustment for soil temperature",0,0,2,"3",NA
143,"PARM83","Runoff volume adjustment for direct link",0,0.1,2,"0",NA
